State Name,Prod_5_Years_Ago,Prod_Latest,GrowthRate
Andhra Pradesh,1988.28,2876.52,44.67
Haryana,930.0,1134.6999999999998,22.01
Orissa,689.87,535.34,-22.4
Assam,185.36,0.0,-100.0
Chhattisgarh,223.94,0.0,-100.0
Gujarat,2854.89,0.0,-100.0
Himachal Pradesh,6.04,0.0,-100.0
Jharkhand,18.95,0.0,-100.0
Karnataka,801.18,0.0,-100.0
Maharashtra,5159.94,0.0,-100.0
Punjab,70.2,0.0,-100.0
Rajasthan,6371.14,0.0,-100.0
Telangana,806.62,0.0,-100.0
Uttar Pradesh,1028.48,0.0,-100.0
West Bengal,820.9,0.0,-100.0
Bihar,0.0,0.0,
Kerala,0.0,0.0,
Madhya Pradesh,0.0,0.0,
Tamil Nadu,0.0,0.0,
Uttarakhand,0.0,0.0,
