Year,AvgMaizeYield
1966,734.27
1967,869.54
1968,709.26
1969,781.48
1970,1094.18
1971,848.64
1972,895.13
1973,886.84
1974,852.94
1975,1026.01
1976,966.65
1977,946.53
1978,964.88
1979,984.16
1980,1067.09
1981,1119.51
1982,1189.24
1983,1314.56
1984,1226.57
1985,1057.79
1986,1078.99
1987,945.44
1988,1145.88
1989,1324.73
1990,1235.36
1991,1157.02
1992,1450.82
1993,1345.81
1994,1211.29
1995,1344.0
1996,1443.18
1997,1409.27
1998,1419.08
1999,1516.95
2000,1556.49
2001,1758.42
2002,1384.69
2003,1704.56
2004,1619.8
2005,1702.61
2006,1678.54
2007,1990.17
2008,1935.15
2009,1764.6
2010,2078.25
2011,2064.95
2012,2137.16
2013,2343.5
2014,2400.83
2015,2260.08
2016,2463.03
2017,2852.33
